Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year,Genre Value
Kicking & Screaming,Jesse Dylan,0.3820224719101124,0.18081180811808115,0.3035714285714286,PG,Will Ferrell,Comedy,0.8148148148148131,0.23529411764705882
Open Season,Roger Allers,0.4269662921348315,0.14760147601476012,0.3928571428571428,PG,Ashton Kutcher,Animation,0.8240740740740726,0.1176470588235294
10 Lives,Christopher Jenkins,0.5179775280898876,0.15498154981549814,0.3571428571428572,TV-G,Mo Gilligan,Animation,0.9907407407407405,0.1176470588235294
The Wiz,Sidney Lumet,0.4719101123595506,0.32472324723247226,0.2857142857142858,G,Diana Ross,Adventure,0.5648148148148131,0.058823529411764705
Horton Hears a Who!,Jimmy Hayward,0.6741573033707865,0.14760147601476012,0.5178571428571428,G,Jim Carrey,Animation,0.8425925925925917,0.1176470588235294
The Imaginary,Yoshiyuki Momose,0.6179775280898877,0.21771217712177118,0.5,PG,Kokoro Terada,Animation,0.981481481481481,0.1176470588235294
The Angry Birds Movie 2,Thurop Van Orman,0.550561797752809,0.18819188191881916,0.4464285714285716,PG,Jason Sudeikis,Animation,0.9444444444444429,0.1176470588235294
Beethoven,Brian Levant,0.5179775280898876,0.15129151291512913,0.3214285714285716,PG,Charles Grodin,Comedy,0.6944444444444429,0.23529411764705882
Three Men and a Baby,Leonard Nimoy,0.5617977528089888,0.2066420664206642,0.3928571428571428,PG,Tom Selleck,Comedy,0.6481481481481488,0.23529411764705882
What a Girl Wants,Dennie Gordon,0.3370786516853933,0.21771217712177118,0.3392857142857144,PG,Amanda Bynes,Comedy,0.7962962962962941,0.23529411764705882
Rio 2,Carlos Saldanha,0.4269662921348315,0.2029520295202952,0.4285714285714286,G,Jesse Eisenberg,Animation,0.8981481481481488,0.1176470588235294
The Sorcerer's Apprentice,Jon Turteltaub,0.3932584269662921,0.23247232472324722,0.3928571428571428,PG,Nicolas Cage,Action,0.8611111111111107,0.0
The Croods: A New Age,Joel Crawford,0.5056179775280899,0.18081180811808115,0.5357142857142858,PG,Nicolas Cage,Animation,0.9537037037037024,0.1176470588235294
Strange World,Don Hall,0.6067415730337079,0.2066420664206642,0.3214285714285716,PG,Jake Gyllenhaal,Animation,0.9722222222222214,0.1176470588235294
The Polar Express,Robert Zemeckis,0.5617977528089888,0.1992619926199262,0.4821428571428572,G,Tom Hanks,Animation,0.8055555555555536,0.1176470588235294
Alvin and the Chipmunks: The Squeakquel,Betty Thomas,0.3370786516853933,0.15498154981549814,0.1071428571428572,PG,Jason Lee,Adventure,0.8518518518518512,0.058823529411764705
Chicken Run,Peter Lord,0.8651685393258427,0.1402214022140221,0.5714285714285714,G,Mel Gibson,Animation,0.768518518518519,0.1176470588235294
Doraemon the Movie: Nobita's Earth Symphony,Kazuaki Imai,0.5179775280898876,0.1992619926199262,0.5178571428571428,PG,Wasabi Mizuta,Animation,0.9907407407407405,0.1176470588235294
Daddy Day Care,Steve Carr,0.3146067415730337,0.16974169741697417,0.3035714285714286,PG,Eddie Murphy,Comedy,0.7962962962962941,0.23529411764705882
Scooby-Doo 2: Monsters Unleashed,Raja Gosnell,0.2584269662921348,0.17343173431734318,0.2321428571428572,PG,Freddie Prinze Jr.,Adventure,0.8055555555555536,0.058823529411764705
Monte Carlo,Thomas Bezucha,0.3595505617977528,0.23247232472324722,0.3392857142857144,PG,Selena Gomez,Adventure,0.8703703703703702,0.058823529411764705
Chicken Run: Dawn of the Nugget,Sam Fell,0.5842696629213483,0.19188191881918817,0.4464285714285716,PG,Thandiwe Newton,Animation,0.981481481481481,0.1176470588235294
D2: The Mighty Ducks,Sam Weisman,0.5179775280898876,0.2214022140221402,0.3928571428571428,PG,Emilio Estevez,Comedy,0.7129629629629619,0.23529411764705882
Dennis the Menace,Nick Castle,0.4269662921348315,0.17712177121771214,0.3214285714285716,PG,Walter Matthau,Comedy,0.7037037037037024,0.23529411764705882
Rise of the Guardians,Peter Ramsey,0.5280898876404495,0.18819188191881916,0.5892857142857144,PG,Hugh Jackman,Animation,0.8796296296296298,0.1176470588235294
The Golden Compass,Chris Weitz,0.449438202247191,0.24723247232472326,0.3928571428571428,PG-13,Nicole Kidman,Adventure,0.8333333333333321,0.058823529411764705
Spirit: Stallion of the Cimarron,Kelly Asbury,0.4606741573033708,0.13653136531365315,0.5892857142857144,G,Matt Damon,Animation,0.7870370370370345,0.1176470588235294
Bee Movie,Simon J. Smith,0.4831460674157303,0.16605166051660517,0.3928571428571428,PG,Jerry Seinfeld,Animation,0.8333333333333321,0.1176470588235294
Diary of a Wimpy Kid: Rodrick Rules,David Bowers,0.449438202247191,0.19557195571955718,0.4821428571428572,PG,Zachary Gordon,Comedy,0.8703703703703702,0.23529411764705882
Brother Bear,Aaron Blaise,0.4157303370786517,0.1439114391143911,0.5357142857142858,G,Joaquin Phoenix,Animation,0.7962962962962941,0.1176470588235294
My Fair Lady,George Cukor,0.9438202247191011,0.45756457564575637,0.6785714285714286,G,Audrey Hepburn,Drama,0.43518518518518334,0.4117647058823529
The Book of Life,Jorge R. Gutiérrez,0.6292134831460674,0.18081180811808115,0.5892857142857144,PG,Diego Luna,Animation,0.8981481481481488,0.1176470588235294
Madagascar 3: Europe's Most Wanted,Eric Darnell,0.550561797752809,0.17343173431734318,0.5178571428571428,PG,Ben Stiller,Animation,0.8796296296296298,0.1176470588235294
Lost in Space,Stephen Hopkins,0.3595505617977528,0.30996309963099633,0.2321428571428572,PG-13,Gary Oldman,Action,0.75,0.0
The Day the Earth Blew Up: A Looney Tunes Movie,Peter Browngardt,0.5179775280898876,0.1992619926199262,0.8035714285714286,PG,Eric Bauza,Animation,0.9907407407407405,0.1176470588235294
The Pacifier,Adam Shankman,0.21348314606741572,0.18081180811808115,0.3035714285714286,PG,Vin Diesel,Action,0.8148148148148131,0.0
Peter Pan & Wendy,David Lowery,0.5617977528089888,0.2214022140221402,0.08928571428571441,PG,Alexander Molony,Action,0.981481481481481,0.0
True Spirit,Sarah Spillane,0.4382022471910113,0.23247232472324722,0.5178571428571428,TV-PG,Alyla Browne,Adventure,0.981481481481481,0.058823529411764705
Fiddler on the Roof,Norman Jewison,0.6292134831460674,0.4981549815498154,0.7321428571428572,G,Topol,Drama,0.5,0.4117647058823529
Marley & Me,David Frankel,0.4719101123595506,0.25461254612546125,0.5535714285714286,PG,Owen Wilson,Drama,0.8425925925925917,0.4117647058823529
Clash of the Titans,Desmond Davis,0.5393258426966292,0.2656826568265682,0.5357142857142858,PG,Laurence Olivier,Action,0.5925925925925917,0.0
Eragon,Stefen Fangmeier,0.3033707865168539,0.21402214022140217,0.2142857142857143,PG,Ed Speleers,Action,0.8240740740740726,0.0
Puss in Boots,Chris Miller,0.6067415730337079,0.16236162361623616,0.4821428571428572,PG,Antonio Banderas,Animation,0.8703703703703702,0.1176470588235294
Disenchanted,Adam Shankman,0.4382022471910113,0.2693726937269373,0.3035714285714286,PG,Amy Adams,Animation,0.9722222222222214,0.1176470588235294
Speed Racer,Lana Wachowski,0.2921348314606742,0.3284132841328413,0.3928571428571428,PG,Emile Hirsch,Action,0.8425925925925917,0.0
Journey to the Center of the Earth,Henry Levin,0.5179775280898876,0.30627306273062727,0.5535714285714286,Approved,James Mason,Adventure,0.3888888888888893,0.058823529411764705
Maleficent: Mistress of Evil,Joachim Rønning,0.3595505617977528,0.2693726937269373,0.4821428571428572,PG,Angelina Jolie,Adventure,0.9444444444444429,0.058823529411764705
The Smurfs,Raja Gosnell,0.21348314606741572,0.21033210332103322,0.267857142857143,PG,Hank Azaria,Animation,0.8703703703703702,0.1176470588235294
The Rescuers Down Under,Hendel Butoy,0.6404494382022472,0.11439114391143909,0.5178571428571428,G,Bob Newhart,Animation,0.6759259259259238,0.1176470588235294
The Great Race,Blake Edwards,0.6741573033707865,0.4206642066420664,0.5892857142857144,Approved,Tony Curtis,Action,0.44444444444444287,0.0
DC League of Super-Pets,Jared Stern,0.5056179775280899,0.21771217712177118,0.5714285714285714,PG,Dwayne Johnson,Animation,0.9722222222222214,0.1176470588235294
Hairspray,John Waters,0.7415730337078652,0.16974169741697417,0.5535714285714286,PG,Sonny Bono,Comedy,0.6574074074074048,0.23529411764705882
One Hundred and One Dalmatians,Clyde Geronimi,0.8089887640449438,0.12177121771217711,0.6071428571428572,G,Rod Taylor,Animation,0.4074074074074048,0.1176470588235294
The Sea Beast,Chris Williams,0.7078651685393259,0.25461254612546125,0.5535714285714286,PG,Karl Urban,Animation,0.9722222222222214,0.1176470588235294
Mr. Hobbs Takes a Vacation,Henry Koster,0.5179775280898876,0.2583025830258302,0.5178571428571428,Approved,James Stewart,Comedy,0.4166666666666643,0.23529411764705882
Richie Rich,Donald Petrie,0.4269662921348315,0.18081180811808115,0.267857142857143,PG,Macaulay Culkin,Comedy,0.7129629629629619,0.23529411764705882
A Little Princess,Alfonso Cuarón,0.8089887640449438,0.18819188191881916,0.6607142857142858,G,Liesel Matthews,Drama,0.7222222222222214,0.4117647058823529
Stuart Little,Rob Minkoff,0.5617977528089888,0.1402214022140221,0.375,PG,Michael J. Fox,Adventure,0.7592592592592595,0.058823529411764705
Ella Enchanted,Tommy O'Haver,0.4719101123595506,0.18450184501845016,0.4285714285714286,PG,Anne Hathaway,Comedy,0.8055555555555536,0.23529411764705882
Surf's Up,Ash Brannon,0.5955056179775281,0.1439114391143911,0.5,PG,Shia LaBeouf,Animation,0.8333333333333321,0.1176470588235294
The Muppet Movie,James Frawley,0.7078651685393259,0.18081180811808115,0.6607142857142858,G,Jim Henson,Adventure,0.5740740740740726,0.058823529411764705
The Call of the Wild,Chris Sanders,0.4157303370786517,0.1992619926199262,0.5,PG,Harrison Ford,Adventure,0.9537037037037024,0.058823529411764705
The Lego Movie 2: The Second Part,Mike Mitchell,0.6067415730337079,0.2250922509225092,0.4642857142857144,PG,Chris Pratt,Animation,0.9444444444444429,0.1176470588235294
How to Train Your Dragon 2,Dean DeBlois,0.7415730337078652,0.2066420664206642,0.6964285714285714,PG,Jay Baruchel,Animation,0.8981481481481488,0.1176470588235294
Hotel Transylvania 2,Genndy Tartakovsky,0.3707865168539326,0.15867158671586715,0.4821428571428572,PG,Adam Sandler,Animation,0.9074074074074048,0.1176470588235294
How Green Was My Valley,John Ford,0.8651685393258427,0.2656826568265682,0.6785714285714286,Approved,Walter Pidgeon,Drama,0.22222222222222143,0.4117647058823529
Flight of the Navigator,Randal Kleiser,0.5955056179775281,0.16236162361623616,0.5357142857142858,PG,Joey Cramer,Adventure,0.6388888888888893,0.058823529411764705
