Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year
My Left Foot,Jim Sheridan,97.0,103.0,7.8,R,Daniel Day-LewisBrenda FrickerAlison Whelan,Biography,1989
Funny Girl,William Wyler,88.0,151.0,7.4,G,Isobel Lennart,Biography,1968
Professor Marston & the Wonder Women,Angela Robinson,68.0,108.0,7.0,R,Luke EvansRebecca HallBella Heathcote,Biography,2017
Kill the Irishman,Jonathan Hensleigh,50.0,106.0,7.0,R,Ray StevensonChristopher WalkenVincent D'Onofrio,Biography,2011
The Informant!,Steven Soderbergh,66.0,108.0,6.5,R,Matt DamonTony HalePatton Oswalt,Biography,2009
Ray,Taylor Hackford,73.0,152.0,7.7,PG-13,Taylor HackfordJames L. White,Biography,2004
A Walk in the Woods,Ken Kwapis,51.0,104.0,6.4,R,Robert RedfordNick NolteEmma Thompson,Adventure,2015
In Cold Blood,Richard Brooks,89.0,134.0,7.9,R,Robert BlakeScott WilsonJohn Forsythe,Biography,1967
Imperium,Daniel Ragussis,68.0,109.0,6.5,R,Daniel RadcliffeToni ColletteTracy Letts,Biography,2016
Big Eyes,Tim Burton,62.0,106.0,7.0,PG-13,Amy AdamsChristoph WaltzDanny Huston,Biography,2014
Woman in Gold,Simon Curtis,51.0,109.0,7.3,PG-13,Helen MirrenRyan ReynoldsDaniel Brühl,Biography,2015
Skin,Guy Nattiv,58.0,118.0,6.8,R,Jamie BellDanielle MacdonaldDaniel Henshall,Biography,2018
Breathe,Andy Serkis,51.0,118.0,7.1,PG-13,Andrew GarfieldClaire FoyHugh Bonneville,Biography,2017
Big George Foreman,George Tillman Jr.,45.0,129.0,6.6,PG-13,Frank BaldwinGeorge Tillman Jr.Dan Gordon,Biography,2023
The Survivor,Barry Levinson,71.0,129.0,6.7,R,Ben FosterBilly MagnussenVicky Krieps,Biography,2021
Riding in Cars with Boys,Penny Marshall,43.0,132.0,6.5,PG-13,Drew BarrymoreSteve ZahnAdam Garcia,Biography,2001
Senna,Asif Kapadia,79.0,106.0,8.5,PG-13,Ayrton SennaReginaldo LemeJohn Bisignano,Documentary,2010
Stronger,David Gordon Green,76.0,119.0,6.9,R,Jake GyllenhaalTatiana MaslanyMiranda Richardson,Biography,2017
Greater,David L. Hunt,35.0,130.0,7.4,PG,Neal McDonoughLeslie EasterbrookChristopher Severio,Biography,2016
An American Crime,Tommy O'Haver,66.0,98.0,7.2,R,Elliot PageHayley McFarlandNick Searcy,Biography,2007
Just Mercy,Destin Daniel Cretton,68.0,137.0,7.6,PG-13,Michael B. JordanJamie FoxxBrie Larson,Biography,2019
What's Love Got to Do with It,Brian Gibson,76.0,118.0,7.3,R,Angela BassettLaurence FishburneRaéVen Kelly,Biography,1993
Secretariat,Randall Wallace,61.0,123.0,7.2,PG,Diane LaneJohn MalkovichMargo Martindale,Biography,2010
Miracles from Heaven,Patricia Riggen,44.0,109.0,7.1,PG,Jennifer GarnerKylie RogersMartin Henderson,Biography,2016
Rob Roy,Michael Caton-Jones,55.0,139.0,6.9,R,Liam NeesonJessica LangeJohn Hurt,Adventure,1995
Operation Finale,Chris Weitz,58.0,122.0,6.6,PG-13,Oscar IsaacBen KingsleyMélanie Laurent,Biography,2018
True Story,Rupert Goold,50.0,99.0,6.3,R,James FrancoJonah HillFelicity Jones,Biography,2015
The Birth of a Nation,Nate Parker,69.0,120.0,6.5,R,Nate ParkerJean McGianni Celestin,Biography,2016
The Banker,George Nolfi,59.0,120.0,7.3,PG-13,Niceole R. LevyGeorge NolfiDavid Lewis Smith,Biography,2020
Dangerous Minds,John N. Smith,46.0,99.0,6.5,R,Michelle PfeifferGeorge DzundzaCourtney B. Vance,Biography,1995
Gold,Stephen Gaghan,49.0,120.0,6.7,R,Matthew McConaugheyEdgar RamírezBryce Dallas Howard,Biography,2016
Selena,Gregory Nava,67.0,127.0,6.8,PG,Jennifer LopezEdward James OlmosJon Seda,Biography,1997
All Is True,Kenneth Branagh,59.0,101.0,6.3,PG-13,Kenneth BranaghJudi DenchIan McKellen,Biography,2018
"McFarland, USA",Niki Caro,60.0,129.0,7.4,PG,Christopher ClevelandBettina GiloisGrant Thompson,Biography,2015
The Last King of Scotland,Kevin Macdonald,74.0,123.0,7.6,R,Peter MorganJeremy BrockGiles Foden,Biography,2006
Tolkien,Dome Karukoski,48.0,112.0,6.8,PG-13,Nicholas HoultLily CollinsColm Meaney,Biography,2019
Soul Surfer,Sean McNamara,53.0,112.0,7.0,PG,Sean McNamaraDeborah SchwartzDouglas Schwartz,Biography,2011
Official Secrets,Gavin Hood,63.0,112.0,7.3,R,Sara BernsteinGregory BernsteinGavin Hood,Biography,2019
Invictus,Clint Eastwood,74.0,134.0,7.3,PG-13,Morgan FreemanMatt DamonTony Kgoroge,Biography,2009
The Great Debaters,Denzel Washington,65.0,126.0,7.5,PG-13,Robert EiseleJeffrey PorroTony Scherman,Biography,2007
Flamin' Hot,Eva Longoria,58.0,99.0,6.7,PG-13,Lewis ColickLinda Yvette ChávezRichard Montanez,Biography,2023
The Catcher Was a Spy,Ben Lewin,49.0,94.0,6.3,R,Paul RuddPierfrancesco FavinoTom Wilkinson,Biography,2018
The Infiltrator,Brad Furman,66.0,127.0,7.0,R,Bryan CranstonJohn LeguizamoDiane Kruger,Biography,2016
Belle,Amma Asante,64.0,100.0,7.3,PG,Gugu Mbatha-RawMatthew GoodeEmily Watson,Biography,2013
Coach Carter,Thomas Carter,57.0,136.0,7.3,PG-13,Samuel L. JacksonRick GonzalezRobert Ri'chard,Biography,2005
Rudy,David Anspaugh,71.0,114.0,7.5,PG,Sean AstinJon FavreauNed Beatty,Biography,1993
Shirley,John Ridley,57.0,117.0,6.2,PG-13,Regina KingLance ReddickTerrence Howard,Biography,2024
Patton,Franklin J. Schaffner,86.0,172.0,7.9,PG,Francis Ford CoppolaEdmund H. NorthLadislas Farago,Biography,1970
La Bamba,Luis Valdez,65.0,108.0,6.9,PG-13,Lou Diamond PhillipsEsai MoralesRosanna DeSoto,Biography,1987
The Straight Story,David Lynch,86.0,112.0,8.0,G,Richard FarnsworthSissy SpacekJane Galloway Heitz,Biography,1999
The World's Fastest Indian,Roger Donaldson,68.0,127.0,7.8,PG-13,Anthony HopkinsDiane LaddIain Rea,Biography,2005
Breach,Billy Ray,74.0,110.0,7.0,PG-13,Adam MazerBill RotkoBilly Ray,Biography,2007
Seven Years in Tibet,Jean-Jacques Annaud,55.0,136.0,7.1,PG-13,Brad PittDavid ThewlisBD Wong,Adventure,1997
The Devils,Ken Russell,49.0,111.0,7.8,R,Vanessa RedgraveOliver ReedDudley Sutton,Biography,1971
Boys Don't Cry,Kimberly Peirce,86.0,118.0,7.5,R,Hilary SwankChloë SevignyPeter Sarsgaard,Biography,1999
Cinderella Man,Ron Howard,69.0,144.0,8.0,PG-13,Cliff HollingsworthAkiva Goldsman,Biography,2005
Escape from Alcatraz,Don Siegel,76.0,112.0,7.6,PG,Clint EastwoodPatrick McGoohanRoberts Blossom,Action,1979
Capote,Bennett Miller,88.0,114.0,7.3,R,Philip Seymour HoffmanClifton Collins Jr.Catherine Keener,Biography,2005
Patch Adams,Tom Shadyac,26.0,115.0,6.8,PG-13,Robin WilliamsDaniel LondonMonica Potter,Biography,1998
The Report,Scott Z. Burns,66.0,119.0,7.2,R,Adam DriverAnnette BeningJon Hamm,Biography,2019
Mommie Dearest,Frank Perry,55.0,129.0,6.6,R,Christina CrawfordFrank YablansFrank Perry,Biography,1981
Chariots of Fire,Hugh Hudson,78.0,125.0,7.1,PG,Ben CrossIan CharlesonNicholas Farrell,Biography,1981
Changeling,Clint Eastwood,63.0,141.0,7.7,R,Angelina JolieColm FeoreAmy Ryan,Biography,2008
42,Brian Helgeland,62.0,128.0,7.5,PG-13,Chadwick BosemanT.R. KnightHarrison Ford,Biography,2013
The Zookeeper's Wife,Niki Caro,57.0,127.0,7.0,PG-13,Jessica ChastainJohan HeldenberghDaniel Brühl,Biography,2017
On the Basis of Sex,Mimi Leder,59.0,120.0,7.1,PG-13,Felicity JonesArmie HammerJustin Theroux,Biography,2018
The Right Stuff,Philip Kaufman,91.0,193.0,7.8,PG,Sam ShepardScott GlennEd Harris,Adventure,1983
The Glass Castle,Destin Daniel Cretton,56.0,127.0,7.1,PG-13,Brie LarsonWoody HarrelsonNaomi Watts,Biography,2017
Frida,Julie Taymor,61.0,123.0,7.3,R,Hayden HerreraClancy SigalDiane Lake,Biography,2002
Lovelace,Rob Epstein,51.0,93.0,6.2,R,Amanda SeyfriedPeter SarsgaardSharon Stone,Biography,2013
Lords of Chaos,Jonas Åkerlund,48.0,118.0,6.6,R,Dennis MagnussonJonas ÅkerlundMichael Moynihan,Biography,2018
Gandhi,Richard Attenborough,79.0,191.0,8.0,PG,Ben KingsleyJohn GielgudRohini Hattangadi,Biography,1982
Mank,David Fincher,79.0,131.0,6.8,R,Gary OldmanAmanda SeyfriedLily Collins,Biography,2020
The Dig,Simon Stone,73.0,112.0,7.1,PG-13,Carey MulliganRalph FiennesLily James,Biography,2021
Freedom Writers,Richard LaGravenese,64.0,123.0,7.6,PG-13,Hilary SwankImelda StauntonPatrick Dempsey,Biography,2007
The Runaways,Floria Sigismondi,65.0,106.0,6.5,R,Kristen StewartDakota FanningMichael Shannon,Biography,2010
Christiane F.,Uli Edel,66.0,138.0,7.5,R,Herman WeigelKai HermannHorst Rieck,Biography,1981
Steve Jobs,Danny Boyle,82.0,122.0,7.2,R,Michael FassbenderKate WinsletSeth Rogen,Biography,2015
The Danish Girl,Tom Hooper,66.0,119.0,7.1,R,Eddie RedmayneAlicia VikanderAmber Heard,Biography,2015
Finding Neverland,Marc Forster,67.0,106.0,7.7,PG,Johnny DeppKate WinsletJulie Christie,Biography,2004
Hotel Rwanda,Terry George,79.0,121.0,8.1,PG-13,Don CheadleSophie OkonedoJoaquin Phoenix,Biography,2004
Snowden,Oliver Stone,58.0,134.0,7.3,R,Kieran FitzgeraldOliver StoneLuke Harding,Biography,2016
Malcolm X,Spike Lee,73.0,202.0,7.7,PG-13,Arnold PerlSpike LeeAlex Haley,Biography,1992
Ed Wood,Tim Burton,71.0,127.0,7.8,R,Johnny DeppMartin LandauSarah Jessica Parker,Biography,1994
Ip Man,Wilson Yip,59.0,106.0,8.0,R,Donnie YenSimon YamSiu-Wong Fan,Action,2008
Cleopatra,Joseph L. Mankiewicz,60.0,192.0,7.0,Approved,Joseph L. MankiewiczRanald MacDougallSidney Buchman,Biography,1963
The Young Victoria,Jean-Marc Vallée,64.0,105.0,7.2,PG,Emily BluntRupert FriendPaul Bettany,Biography,2009
The Last Emperor,Bernardo Bertolucci,76.0,163.0,7.7,PG-13,Enzo UngariMark PeploeBernardo Bertolucci,Biography,1987
The Wind Rises,Hayao Miyazaki,83.0,126.0,7.8,PG-13,Hayao Miyazaki,Animation,2013
Mary Queen of Scots,Josie Rourke,60.0,124.0,6.3,R,Saoirse RonanMargot RobbieJack Lowden,Biography,2018
Alive,Frank Marshall,56.0,128.0,7.1,R,Ethan HawkeVincent SpanoJosh Hamilton,Biography,1993
Bernie,Richard Linklater,75.0,104.0,6.8,PG-13,Skip HollandsworthRichard Linklater,Biography,2011
I Can Only Imagine,Andrew Erwin,30.0,110.0,7.3,PG,Bart MillardJon ErwinBrent McCorkle,Biography,2018
Fighting with My Family,Stephen Merchant,68.0,108.0,7.1,PG-13,Dwayne JohnsonLena HeadeyVince Vaughn,Biography,2019
In the Heart of the Sea,Ron Howard,47.0,122.0,6.9,PG-13,Charles LeavittRick JaffaAmanda Silver,Action,2015
Nowhere Boy,Sam Taylor-Johnson,67.0,98.0,7.1,R,Aaron Taylor-JohnsonKristin Scott ThomasAnne-Marie Duff,Biography,2009
Three Identical Strangers,Tim Wardle,81.0,96.0,7.6,PG-13,Robert ShafranMichael DomnitzHoward Schneider,Documentary,2018
October Sky,Joe Johnston,71.0,108.0,7.8,PG,Jake GyllenhaalChris CooperLaura Dern,Biography,1999
Fire in the Sky,Robert Lieberman,42.0,109.0,6.5,PG-13,D.B. SweeneyRobert PatrickCraig Sheffer,Biography,1993
Jungle,Greg McLean,48.0,115.0,6.7,R,Daniel RadcliffeThomas KretschmannAlex Russell,Action,2017
Charlie Wilson's War,Mike Nichols,67.0,102.0,7.0,R,Tom HanksJulia RobertsPhilip Seymour Hoffman,Biography,2007
In the Name of the Father,Jim Sheridan,84.0,133.0,8.1,R,Daniel Day-LewisPete PostlethwaiteAlison Crosbie,Biography,1993
American Me,Edward James Olmos,66.0,125.0,7.1,R,Floyd MutruxDesmond Nakano,Biography,1992
A Million Miles Away,Alejandra Márquez Abella,62.0,121.0,7.3,PG,Bettina GiloisHernán JiménezAlejandra Márquez Abella,Biography,2023
"tick, tick... BOOM!",Lin-Manuel Miranda,74.0,115.0,7.5,PG-13,Andrew GarfieldAlexandra ShippRobin de Jesus,Biography,2021
The Doors,Oliver Stone,62.0,140.0,7.2,R,Val KilmerMeg RyanKyle MacLachlan,Biography,1991
Black Mass,Scott Cooper,68.0,123.0,6.9,R,Mark MalloukJez ButterworthDick Lehr,Biography,2015
The Lost City of Z,James Gray,78.0,141.0,6.6,PG-13,Charlie HunnamRobert PattinsonSienna Miller,Adventure,2016
The New World,Terrence Malick,73.0,135.0,6.7,PG-13,Colin FarrellQ'orianka KilcherChristopher Plummer,Biography,2005
A Dangerous Method,David Cronenberg,76.0,99.0,6.4,R,Christopher HamptonJohn Kerr,Biography,2011
Lorenzo's Oil,George Miller,80.0,129.0,7.3,PG-13,Nick NolteSusan SarandonPeter Ustinov,Biography,1992
Never Look Away,Florian Henckel von Donnersmarck,68.0,189.0,7.7,R,Tom SchillingSebastian KochPaula Beer,Biography,2018
The Good Nurse,Tobias Lindholm,65.0,121.0,6.8,R,Eddie RedmayneJessica ChastainDenise Pillott,Biography,2022
Devotion,J.D. Dillard,66.0,139.0,6.6,PG-13,Jonathan MajorsGlen PowellChristina Jackson,Action,2022
The Frozen Ground,Scott Walker,37.0,105.0,6.4,R,Nicolas CageVanessa HudgensJohn Cusack,Biography,2013
Stand and Deliver,Ramón Menéndez,77.0,103.0,7.3,PG,Edward James OlmosEstelle HarrisMark Phelan,Biography,1988
Lords of Dogtown,Catherine Hardwicke,56.0,107.0,7.1,PG-13,Heath LedgerEmile HirschVictor Rasuk,Biography,2005
Harriet,Kasi Lemmons,66.0,125.0,6.7,PG-13,Gregory Allen HowardKasi Lemmons,Action,2019
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,68.0,160.0,7.5,R,Brad PittCasey AffleckSam Shepard,Biography,2007
Foxcatcher,Bennett Miller,81.0,134.0,7.0,R,Steve CarellChanning TatumMark Ruffalo,Biography,2014
The Other Boleyn Girl,Justin Chadwick,50.0,115.0,6.7,PG-13,Natalie PortmanScarlett JohanssonEric Bana,Biography,2008
Pride,Matthew Warchus,79.0,119.0,7.8,R,Bill NighyImelda StauntonDominic West,Biography,2014
Father Stu,Rosalind Ross,40.0,124.0,6.5,PG-13,Mark WahlbergMel GibsonJacki Weaver,Biography,2022
Amistad,Steven Spielberg,64.0,155.0,7.3,R,Djimon HounsouMatthew McConaugheyAnthony Hopkins,Biography,1997
Cherry,Anthony Russo,44.0,142.0,6.6,R,Angela Russo-OtstotJessica GoldbergNico Walker,Biography,2021
Bully,Larry Clark,45.0,108.0,6.9,TV-MA,Brad RenfroNick StahlBijou Phillips,Biography,2001
Serpico,Sidney Lumet,83.0,130.0,7.7,R,Al PacinoJohn RandolphJack Kehoe,Biography,1973
Bank of Dave,Chris Foggin,60.0,107.0,7.1,PG-13,Joel FryPhoebe DynevorRory Kinnear,Biography,2023
Heavenly Creatures,Peter Jackson,86.0,99.0,7.3,R,Melanie LynskeyKate WinsletSarah Peirse,Biography,1994
Papillon,Franklin J. Schaffner,58.0,151.0,8.0,R,Dalton TrumboLorenzo Semple Jr.Henri Charrière,Biography,1973
The Lover,Jean-Jacques Annaud,59.0,115.0,6.8,R,Jane MarchTony Ka Fai LeungJeanne Moreau,Biography,1992
Spencer,Pablo Larraín,76.0,117.0,6.6,R,Kristen StewartTimothy SpallSally Hawkins,Biography,2021
Alpha Dog,Nick Cassavetes,53.0,122.0,6.9,R,Emile HirschJustin TimberlakeAnton Yelchin,Biography,2006
The Edge of Love,John Maybury,39.0,110.0,6.1,R,Keira KnightleySienna MillerMatthew Rhys,Biography,2008
The Disaster Artist,James Franco,76.0,104.0,7.3,R,Scott NeustadterMichael H. WeberGreg Sestero,Biography,2017
Midnight Express,Alan Parker,59.0,121.0,7.5,R,Brad DavisIrene MiracleBo Hopkins,Biography,1978
Adrift,Baltasar Kormákur,56.0,96.0,6.6,PG-13,Aaron KandellJordan KandellDavid Branson Smith,Action,2018
Vice,Adam McKay,61.0,132.0,7.2,R,Christian BaleAmy AdamsSteve Carell,Biography,2018
The Iceman,Ariel Vromen,60.0,106.0,6.8,R,Morgan LandAriel VromenAnthony Bruno,Biography,2012
Born on the Fourth of July,Oliver Stone,75.0,145.0,7.2,R,Ron KovicOliver Stone,Biography,1989
The Killing Fields,Roland Joffé,76.0,141.0,7.8,R,Sam WaterstonHaing S. NgorJohn Malkovich,Biography,1984
Only the Brave,Joseph Kosinski,72.0,134.0,7.6,PG-13,Josh BrolinMiles TellerJeff Bridges,Action,2017
Butch Cassidy and the Sundance Kid,George Roy Hill,66.0,110.0,8.0,PG,Paul NewmanRobert RedfordKatharine Ross,Biography,1969
Sully,Clint Eastwood,74.0,96.0,7.4,PG-13,Tom HanksAaron EckhartLaura Linney,Biography,2016
Captain Phillips,Paul Greengrass,82.0,134.0,7.8,PG-13,Tom HanksBarkhad AbdiBarkhad Abdirahman,Action,2013
Megan Leavey,Gabriela Cowperthwaite,66.0,116.0,7.1,PG-13,Kate MaraRamón RodríguezTom Felton,Action,2017
Outlaw King,David Mackenzie,59.0,121.0,6.9,R,Bathsheba DoranDavid MackenzieJames MacInnes,Action,2018
Unbroken,Angelina Jolie,59.0,137.0,7.2,PG-13,Joel CoenEthan CoenRichard LaGravenese,Action,2014
Elizabeth,Shekhar Kapur,75.0,124.0,7.4,R,Cate BlanchettLiz GilesRod Culbertson,Biography,1998
The Post,Steven Spielberg,83.0,116.0,7.2,PG-13,Meryl StreepTom HanksSarah Paulson,Biography,2017
Bonnie and Clyde,Arthur Penn,86.0,111.0,7.7,R,Warren BeattyFaye DunawayMichael J. Pollard,Action,1967
The Elephant Man,David Lynch,78.0,124.0,8.2,PG,Christopher De VoreEric BergrenDavid Lynch,Biography,1980
The Blind Side,John Lee Hancock,53.0,129.0,7.6,PG-13,Quinton AaronSandra BullockTim McGraw,Biography,2009
Dog Day Afternoon,Sidney Lumet,86.0,125.0,8.0,R,Frank PiersonP.F. KlugeThomas Moore,Biography,1975
"Good Morning, Vietnam",Barry Levinson,67.0,121.0,7.3,R,Robin WilliamsForest WhitakerTom T. Tran,Biography,1987
Snow White and the Huntsman,Rupert Sanders,57.0,127.0,6.1,PG-13,Evan DaughertyJohn Lee HancockHossein Amini,Action,2012
Awakenings,Penny Marshall,74.0,121.0,7.8,PG-13,Robert De NiroRobin WilliamsJulie Kavner,Biography,1990
Donnie Brasco,Mike Newell,77.0,127.0,7.7,R,Al PacinoJohnny DeppMichael Madsen,Biography,1997
Jarhead,Sam Mendes,58.0,125.0,7.0,R,Jake GyllenhaalJamie FoxxLucas Black,Biography,2005
Lee,Ellen Kuras,59.0,116.0,6.9,R,Liz HannahMarion HumeJohn Collee,Biography,2023
127 Hours,Danny Boyle,82.0,94.0,7.5,R,James FrancoAmber TamblynKate Mara,Biography,2010
Jersey Boys,Clint Eastwood,54.0,134.0,6.8,R,Marshall BrickmanRick Elice,Biography,2014
Out of Africa,Sydney Pollack,69.0,161.0,7.1,PG,Karen BlixenJudith ThurmanErrol Trzebinski,Biography,1985
Bloodsport,Newt Arnold,29.0,92.0,6.8,R,Sheldon LettichChristopher CosbyMel Friedman,Action,1988
The Mauritanian,Kevin Macdonald,53.0,129.0,7.5,R,Michael BronnerRory HainesSohrab Noshirvani,Biography,2021
Chisum,Andrew V. McLaglen,66.0,111.0,6.8,G,Andrew J. Fenady,Biography,1970
Amy,Asif Kapadia,85.0,128.0,7.8,R,Amy WinehouseMitch WinehouseMark Ronson,Documentary,2015
Belfast,Kenneth Branagh,75.0,98.0,7.2,PG-13,Jude HillLewis McAskieCaitríona Balfe,Biography,2021
Nyad,Jimmy Chin,63.0,121.0,7.1,PG-13,Annette BeningJodie FosterAnne Marie Kempf,Biography,2023
Wild,Jean-Marc Vallée,74.0,115.0,7.1,R,Reese WitherspoonLaura DernGaby Hoffmann,Adventure,2014
Tetris,Jon S. Baird,61.0,118.0,7.4,R,Taron EgertonMara HufMiles Barrow,Biography,2023
Lawless,John Hillcoat,58.0,116.0,7.2,R,Tom HardyShia LaBeoufGuy Pearce,Biography,2012
The Insider,Michael Mann,85.0,157.0,7.8,R,Russell CroweAl PacinoChristopher Plummer,Biography,1999
Bleed for This,Ben Younger,62.0,117.0,6.8,R,Ben YoungerPippa BiancoAngelo Pizzo,Biography,2016
Wyatt Earp,Lawrence Kasdan,47.0,191.0,6.7,PG-13,Kevin CostnerDennis QuaidGene Hackman,Action,1994
Lincoln,Steven Spielberg,87.0,150.0,7.3,PG-13,Daniel Day-LewisSally FieldDavid Strathairn,Biography,2012
Walk the Line,James Mangold,72.0,136.0,7.8,PG-13,Johnny CashGill DennisJames Mangold,Biography,2005
King Richard,Reinaldo Marcus Green,76.0,144.0,7.5,PG-13,Will SmithAunjanue Ellis-TaylorJon Bernthal,Biography,2021
Papillon,Michael Noer,51.0,133.0,7.2,R,Aaron GuzikowskiHenri CharrièreDalton Trumbo,Adventure,2017
Miracle,Gavin O'Connor,68.0,135.0,7.5,PG,Kurt RussellPatricia ClarksonNathan West,Biography,2004
Mask,Peter Bogdanovich,73.0,120.0,7.2,PG-13,CherEric StoltzSam Elliott,Biography,1985
Straight Outta Compton,F. Gary Gray,72.0,147.0,7.8,R,Jonathan HermanAndrea BerloffS. Leigh Savidge,Biography,2015
The Fighter,David O. Russell,79.0,116.0,7.8,R,Scott SilverPaul TamasyEric Johnson,Action,2010
The King's Speech,Tom Hooper,88.0,118.0,8.0,R,Colin FirthGeoffrey RushHelena Bonham Carter,Biography,2010
The Theory of Everything,James Marsh,71.0,123.0,7.7,PG-13,Eddie RedmayneFelicity JonesTom Prior,Biography,2014
Joy,David O. Russell,56.0,124.0,6.6,PG-13,David O. RussellAnnie Mumolo,Biography,2015
"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,52.0,110.0,6.7,R,Lily CollinsZac EfronAngela Sarafyan,Biography,2019
First Man,Damien Chazelle,84.0,141.0,7.3,PG-13,Ryan GoslingClaire FoyJason Clarke,Biography,2018
Jerry and Marge Go Large,David Frankel,52.0,96.0,6.9,PG-13,Bryan CranstonAnnette BeningRainn Wilson,Biography,2022
Glory,Edward Zwick,78.0,122.0,7.8,R,Kevin JarreLincoln KirsteinPeter Burchard,Biography,1989
The Founder,John Lee Hancock,66.0,115.0,7.2,PG-13,Michael KeatonNick OffermanJohn Carroll Lynch,Biography,2016
Silkwood,Mike Nichols,64.0,131.0,7.1,R,Meryl StreepKurt RussellCher,Biography,1983
Dallas Buyers Club,Jean-Marc Vallée,77.0,117.0,7.9,R,Matthew McConaugheyJennifer GarnerJared Leto,Biography,2013
Blow,Ted Demme,52.0,124.0,7.5,R,Johnny DeppPenélope CruzFranka Potente,Biography,2001
The Aviator,Martin Scorsese,77.0,170.0,7.5,PG-13,Leonardo DiCaprioCate BlanchettKate Beckinsale,Biography,2004
The Highwaymen,John Lee Hancock,58.0,132.0,6.9,R,Kevin CostnerWoody HarrelsonKathy Bates,Biography,2019
Marie Antoinette,Sofia Coppola,64.0,123.0,6.5,PG-13,Kirsten DunstJason SchwartzmanRip Torn,Biography,2006
Spartacus,Stanley Kubrick,87.0,197.0,7.9,PG-13,Dalton TrumboHoward FastPeter Ustinov,Adventure,1960
Raging Bull,Martin Scorsese,90.0,129.0,8.1,R,Jake LaMottaJoseph CarterPeter Savage,Biography,1980
Bombshell,Jay Roach,64.0,109.0,6.8,R,Charlize TheronNicole KidmanMargot Robbie,Biography,2019
The Basketball Diaries,Scott Kalvert,46.0,102.0,7.3,R,Leonardo DiCaprioLorraine BraccoMarilyn Sokol,Biography,1995
Colonia,Florian Gallenberger,33.0,110.0,7.0,R,Emma WatsonDaniel BrühlMichael Nyqvist,Biography,2015
Richard Jewell,Clint Eastwood,68.0,131.0,7.5,R,Billy RayMarie BrennerKent Alexander,Biography,2019
Free State of Jones,Gary Ross,53.0,139.0,6.9,R,Gary RossLeonard Hartman,Action,2016
Public Enemies,Michael Mann,70.0,140.0,7.0,R,Ronan BennettMichael MannAnn Biderman,Action,2009
The Hill,Jeff Celentano,48.0,126.0,6.7,PG,Angelo PizzoScott Marshall SmithBill Chaffin,Biography,2023
A Beautiful Day in the Neighborhood,Marielle Heller,80.0,109.0,7.2,PG,Micah Fitzerman-BlueNoah HarpsterTom Junod,Biography,2019
Lone Survivor,Peter Berg,60.0,121.0,7.5,R,Mark WahlbergTaylor KitschEmile Hirsch,Action,2013
Everest,Baltasar Kormákur,64.0,121.0,7.1,PG-13,Jason ClarkeAng Phula SherpaThomas M. Wright,Action,2015
"I, Tonya",Craig Gillespie,77.0,119.0,7.5,R,Margot RobbieSebastian StanAllison Janney,Biography,2017
Hachi: A Dog's Tale,Lasse Hallström,66.0,93.0,8.1,G,Richard GereJoan AllenCary-Hiroyuki Tagawa,Biography,2009
Thirteen Lives,Ron Howard,66.0,147.0,7.8,PG-13,William NicholsonDon MacPherson,Biography,2022
Spotlight,Tom McCarthy,93.0,129.0,8.1,R,Mark RuffaloMichael KeatonRachel McAdams,Biography,2015
House of Gucci,Ridley Scott,59.0,158.0,6.6,R,Becky JohnstonRoberto BentivegnaSara Gay Forden,Biography,2021
The Pursuit of Happyness,Gabriele Muccino,64.0,117.0,8.0,PG-13,Will SmithThandiwe NewtonJaden Smith,Biography,2006
Argo,Ben Affleck,86.0,120.0,7.7,R,Ben AffleckBryan CranstonJohn Goodman,Biography,2012
Lion,Garth Davis,69.0,118.0,8.0,PG-13,Dev PatelNicole KidmanRooney Mara,Biography,2016
Molly's Game,Aaron Sorkin,71.0,140.0,7.4,R,Jessica ChastainIdris ElbaKevin Costner,Biography,2017
12 Years a Slave,Steve McQueen,96.0,134.0,8.1,R,Chiwetel EjioforMichael Kenneth WilliamsMichael Fassbender,Biography,2013
A Hidden Life,Terrence Malick,80.0,174.0,7.4,PG-13,August DiehlValerie PachnerMaria Simon,Biography,2019
Maestro,Bradley Cooper,77.0,129.0,6.5,R,Carey MulliganBradley CooperMatt Bomer,Biography,2023
BlacKkKlansman,Spike Lee,83.0,135.0,7.5,R,Charlie WachtelDavid RabinowitzKevin Willmott,Biography,2018
Remember the Titans,Boaz Yakin,48.0,113.0,7.8,PG,Denzel WashingtonWill PattonWood Harris,Biography,2000
"Girl, Interrupted",James Mangold,51.0,127.0,7.3,R,Susanna KaysenJames MangoldLisa Loomer,Biography,1999
Legend,Brian Helgeland,55.0,132.0,6.9,R,Tom HardyEmily BrowningTaron Egerton,Biography,2015
Monster,Patty Jenkins,74.0,109.0,7.3,R,Charlize TheronChristina RicciBruce Dern,Biography,2003
Lawrence of Arabia,David Lean,100.0,218.0,8.3,PG,Peter O'TooleAlec GuinnessAnthony Quinn,Adventure,1962
Downfall,Oliver Hirschbiegel,82.0,156.0,8.2,R,Bernd EichingerJoachim FestTraudl Junge,Biography,2004
Rocketman,Dexter Fletcher,69.0,121.0,7.3,R,Taron EgertonJamie BellRichard Madden,Biography,2019
