Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year
Furiosa: A Mad Max Saga,George Miller,79.0,148.0,7.9,R,Anya Taylor-JoyChris HemsworthTom Burke,Action,2024
WALL·E,Andrew Stanton,95.0,98.0,8.4,G,Andrew StantonPete DocterJim Reardon,Animation,2008
Spider-Man: Beyond the Spider-Verse,Joaquim Dos Santos,66.9,116.3,7.1,R,Shameik MooreHailee SteinfeldBrian Tyree Henry,Animation,2015
Hercules,Ron Clements,74.0,93.0,7.3,G,Ron ClementsJohn MuskerDon McEnery,Animation,1997
Sing,Garth Jennings,59.0,108.0,7.1,PG,Matthew McConaugheyReese WitherspoonSeth MacFarlane,Animation,2016
Castle in the Sky,Hayao Miyazaki,78.0,125.0,8.0,PG,Hayao MiyazakiJonathan Swift,Animation,1986
"Monsters, Inc.",Pete Docter,79.0,92.0,8.1,G,Pete DocterJill CultonJeff Pidgeon,Animation,2001
Tangled,Nathan Greno,71.0,100.0,7.7,PG,Mandy MooreZachary LeviDonna Murphy,Animation,2010
Up,Pete Docter,88.0,96.0,8.3,PG,Pete DocterBob PetersonTom McCarthy,Animation,2009
Toy Story,John Lasseter,96.0,81.0,8.3,G,John LasseterPete DocterAndrew Stanton,Animation,1995
Puss in Boots: The Last Wish,Joel Crawford,73.0,102.0,7.8,PG,Paul FisherTommy SwerdlowTom Wheeler,Animation,2022
Encanto,Jared Bush,75.0,102.0,7.2,PG,Charise Castro SmithJared BushByron Howard,Animation,2021
Coco,Lee Unkrich,81.0,105.0,8.4,PG,Lee UnkrichJason KatzMatthew Aldrich,Animation,2017
Frozen,Chris Buck,75.0,102.0,7.4,PG,Jennifer LeeHans Christian AndersenChris Buck,Animation,2013
Mufasa: The Lion King,Barry Jenkins,66.9,116.3,7.1,R,Linda WoolvertonIrene MecchiJonathan Roberts,Animation,2024
Howl's Moving Castle,Hayao Miyazaki,82.0,119.0,8.2,PG,Chieko BaishôTakuya KimuraTatsuya Gashûin,Animation,2004
Zootopia,Byron Howard,78.0,108.0,8.0,PG,Byron HowardRich MooreJared Bush,Animation,2016
Teenage Mutant Ninja Turtles: Mutant Mayhem,Jeff Rowe,74.0,99.0,7.2,PG,Seth RogenEvan GoldbergJeff Rowe,Animation,2023
Kung Fu Panda,Mark Osborne,74.0,92.0,7.6,PG,Jonathan AibelGlenn BergerEthan Reiff,Animation,2008
The Lion King,Jon Favreau,55.0,118.0,6.8,PG,Jeff NathansonIrene MecchiJonathan Roberts,Animation,2019
Spider-Man: Into the Spider-Verse,Bob Persichetti,87.0,117.0,8.4,PG,Phil LordRodney Rothman,Animation,2018
The Incredibles,Brad Bird,90.0,115.0,8.0,PG,Craig T. NelsonSamuel L. JacksonHolly Hunter,Animation,2004
Mars Express,Jérémie Périn,76.0,88.0,7.5,Not Rated,Léa DruckerMathieu AmalricDaniel Njo Lobé,Animation,2023
Shrek 2,Andrew Adamson,75.0,93.0,7.3,PG,William SteigAndrew AdamsonJoe Stillman,Animation,2004
Your Name.,Makoto Shinkai,81.0,116.3,8.4,R,Makoto ShinkaiClark Cheng,Animation,2016
Elemental,Peter Sohn,58.0,101.0,7.0,PG,John HobergKat LikkelBrenda Hsueh,Animation,2023
Ratatouille,Brad Bird,96.0,111.0,8.1,G,Brad BirdJan PinkavaJim Capobianco,Animation,2007
Moana,Ron Clements,81.0,107.0,7.6,PG,Ron ClementsJohn MuskerDon Hall,Animation,2016
Harold and the Purple Crayon,Carlos Saldanha,66.9,92.0,7.1,PG,Zachary LeviLil Rel HoweryBenjamin Bottani,Animation,2024
Finding Nemo,Andrew Stanton,90.0,100.0,8.2,G,Andrew StantonBob PetersonDavid Reynolds,Animation,2003
Sing 2,Garth Jennings,49.0,110.0,7.3,PG,Matthew McConaugheyReese WitherspoonScarlett Johansson,Animation,2021
Trolls Band Together,Walt Dohrn,53.0,91.0,6.0,PG,Anna KendrickJustin TimberlakeKenan Thompson,Animation,2023
Transformers One,Josh Cooley,66.9,116.3,7.1,R,Chris HemsworthBrian Tyree HenryScarlett Johansson,Animation,2024
The Boy and the Heron,Hayao Miyazaki,91.0,124.0,7.6,PG-13,Hayao Miyazaki,Animation,2023
The Lion King,Roger Allers,88.0,88.0,8.5,G,Irene MecchiJonathan RobertsLinda Woolverton,Animation,1994
Cars,John Lasseter,73.0,116.0,7.2,G,John LasseterJoe RanftJorgen Klubien,Animation,2006
Shrek,Andrew Adamson,84.0,90.0,7.9,PG,William SteigTed ElliottTerry Rossio,Animation,2001
Spirited Away,Hayao Miyazaki,96.0,125.0,8.6,PG,Hayao Miyazaki,Animation,2001
Moana 2,David G. Derrick Jr.,66.9,116.3,7.1,R,Gil KenanJason ReitmanIvan Reitman,Animation,2024
The Super Mario Bros. Movie,Aaron Horvath,46.0,92.0,7.0,PG,Aaron HorvathMichael JelenicPierre Leduc,Animation,2023
The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,66.9,116.3,7.1,R,Jeffrey AddissPhoebe GittinsWill Matthews,Animation,2024
Despicable Me 4,Chris Renaud,66.9,95.0,7.1,PG,Steve CarellKristen WiigJoey King,Animation,2024
Migration,Benjamin Renner,56.0,83.0,6.7,PG,Mike WhiteBenjamin RennerKen Daurio,Animation,2023
Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,86.0,140.0,8.6,PG,Shameik MooreHailee SteinfeldBrian Tyree Henry,Animation,2023
Inside Out,Pete Docter,94.0,95.0,8.1,PG,Pete DocterRonnie Del CarmenMeg LeFauve,Animation,2015
Wish,Chris Buck,47.0,95.0,5.6,PG,Jennifer LeeAllison MooreChris Buck,Animation,2023
Kung Fu Panda 4,Mike Mitchell,54.0,94.0,6.3,PG,Jonathan AibelGlenn BergerDarren Lemke,Animation,2024
Inside Out 2,Kelsey Mann,66.9,100.0,7.1,PG,Amy PoehlerPhyllis SmithLewis Black,Animation,2024
Thelma the Unicorn,Jared Hess,64.0,93.0,5.8,PG,Brittany HowardWill ForteJon Heder,Animation,2024
The Garfield Movie,Mark Dindal,31.0,101.0,5.9,PG,Paul A. KaplanMark TorgoveDavid Reynolds,Animation,2024
IF,John Krasinski,46.0,104.0,6.7,PG,Cailey FlemingRyan ReynoldsJohn Krasinski,Animation,2024
Taxi Driver,Martin Scorsese,94.0,114.0,8.2,R,"Robert De Niro,Jodie Foster,Cybill Shepherd",Crime,1976
Kill Bill: Vol. 1,Quentin Tarantino,69.0,111.0,8.2,R,"Quentin Tarantino ,Uma Thurman",Action,2003
We're the Millers,Rawson Marshall Thurber,44.0,110.0,7.0,R,"Bob FisherSteve , FaberSean Anders",Comedy,2013
The Green Mile,Frank Darabont,61.0,189.0,8.6,R,Tom HanksMichael Clarke DuncanDavid Morse,Crime,1999
Animal,Sandeep Reddy Vanga,33.0,204.0,6.2,Not Rated,Suresh BandaruSaurabh GuptaPranay Reddy Vanga,Action,2023
Prisoners,Denis Villeneuve,70.0,153.0,8.2,R,Hugh JackmanJake GyllenhaalViola Davis,Crime,2013
12 Angry Men,Sidney Lumet,97.0,96.0,9.0,Approved,Reginald Rose,Crime,1957
Joker,Todd Phillips,59.0,122.0,8.4,R,Todd PhillipsScott SilverBob Kane,Crime,2019
Sicario,Denis Villeneuve,82.0,121.0,7.7,R,Emily BluntJosh BrolinBenicio Del Toro,Action,2015
Baby Driver,Edgar Wright,86.0,113.0,7.5,R,Ansel ElgortJon BernthalJon Hamm,Action,2017
The Crow,Alex Proyas,71.0,102.0,7.5,R,Brandon LeeMichael WincottRochelle Davis,Action,1994
Léon: The Professional,Luc Besson,64.0,110.0,8.5,R,Jean RenoGary OldmanNatalie Portman,Action,1994
In the Land of Saints and Sinners,Robert Lorenz,60.0,106.0,6.3,R,Kerry CondonDesmond EastwoodConor MacNeill,Action,2023
The Equalizer,Antoine Fuqua,57.0,132.0,7.2,R,Denzel WashingtonMarton CsokasChloë Grace Moretz,Action,2014
The Equalizer 3,Antoine Fuqua,58.0,109.0,6.8,R,Denzel WashingtonDakota FanningEugenio Mastrandrea,Action,2023
Wicked Little Letters,Thea Sharrock,58.0,100.0,7.0,R,Jessie BuckleyOlivia ColmanTimothy Spall,Comedy,2023
Beverly Hills Cop,Martin Brest,66.0,105.0,7.4,R,Daniel Petrie Jr.Danilo Bach,Action,1984
The Silence of the Lambs,Jonathan Demme,86.0,118.0,8.6,R,Jodie FosterAnthony HopkinsScott Glenn,Crime,1991
Heat,Michael Mann,76.0,170.0,8.3,R,Al PacinoRobert De NiroVal Kilmer,Action,1995
No Country for Old Men,Ethan Coen,92.0,122.0,8.2,R,Tommy Lee JonesJavier BardemJosh Brolin,Crime,2007
Se7en,David Fincher,65.0,127.0,8.6,R,Morgan FreemanBrad PittKevin Spacey,Crime,1995
John Wick: Chapter 4,Chad Stahelski,78.0,169.0,7.7,R,Keanu ReevesLaurence FishburneGeorge Georgiou,Action,2023
